epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31607,1.34402,3.93681,2.91064,1.65685,0.00396,1,0.40972,0.20443,0.00396,1,0.38831,0.18362,1.0681,2.43551,3.10737,1.70253,0.00016,0.00016,0.00016
2,6.18292,0.92967,2.04091,1.97992,1.35681,0.00396,1,0.6368,0.42976,0.00378,0.95455,0.62543,0.41417,0.93482,2.59117,2.7687,1.40656,0.000333268,0.000333268,0.000333268
3,9.03408,0.86368,1.59942,1.66269,1.26719,0.83621,0.34837,0.72881,0.49446,0.83621,0.34837,0.76223,0.54009,0.91902,1.6508,2.48011,1.52783,0.000499408,0.000499408,0.000499408
4,11.8951,0.83181,1.45721,1.51427,1.2514,0.83225,0.56388,0.72422,0.48559,0.8347,0.57397,0.7369,0.53106,1.04578,2.32127,2.39136,1.72124,0.00065842,0.00065842,0.00065842
5,14.72,0.91099,1.55052,1.50377,1.31044,0.61903,0.43182,0.63289,0.31746,0.64162,0.44773,0.62216,0.42248,1.30471,1.82878,2.53234,1.93219,0.000810304,0.000810304,0.000810304
6,17.5331,0.92663,1.57672,1.45431,1.31985,0.56567,0.44415,0.51749,0.27704,0.58034,0.47156,0.54901,0.38058,1.45869,1.97505,2.67135,2.22077,0.00095506,0.00095506,0.00095506
7,20.3361,0.99489,1.66013,1.51137,1.36139,0.58901,0.55383,0.65105,0.32515,0.65775,0.61364,0.67841,0.43449,1.28409,2.03436,2.48384,1.96522,0.00109269,0.00109269,0.00109269
8,23.1446,0.90552,1.58798,1.4387,1.31566,0.51341,0.71949,0.65191,0.34705,0.51776,0.65909,0.66291,0.36711,1.18822,2.92898,2.3654,1.76823,0.00122319,0.00122319,0.00122319
9,25.9746,0.90051,1.53844,1.36719,1.27074,0.71237,0.75,0.75675,0.47016,0.71237,0.75,0.75321,0.4872,1.27845,2.33337,1.68911,1.99563,0.00134656,0.00134656,0.00134656
10,28.7729,0.90767,1.48296,1.30124,1.30639,0.59264,0.62833,0.59292,0.27416,0.5733,0.61077,0.59187,0.2934,1.64595,4.87262,2.85758,2.7616,0.0014628,0.0014628,0.0014628
11,31.5595,0.92284,1.53909,1.31576,1.28304,0.69687,0.47727,0.56894,0.3169,0.69687,0.47727,0.56549,0.31656,1.41202,2.57112,2.71259,2.23454,0.00157192,0.00157192,0.00157192
12,34.3843,0.89727,1.44916,1.29693,1.29188,0.68476,0.54545,0.6653,0.34168,0.68779,0.61364,0.70238,0.41222,1.51001,2.83775,2.87453,2.60584,0.0015644,0.0015644,0.0015644
13,37.162,0.82459,1.38082,1.1584,1.22402,0.57806,0.59091,0.6827,0.32977,0.66196,0.59091,0.70883,0.30678,1.51719,3.90336,2.62207,2.34869,0.0015248,0.0015248,0.0015248
14,39.978,0.82824,1.37704,1.12474,1.2369,0.56054,0.56818,0.56305,0.27646,0.48155,0.61364,0.49212,0.24606,1.53174,3.72936,2.35787,2.18812,0.0014852,0.0014852,0.0014852
15,42.7627,0.80043,1.39102,1.09997,1.19517,0.79921,0.63636,0.75498,0.4274,0.7901,0.63636,0.79118,0.56614,1.32819,1.64938,2.18854,2.00971,0.0014456,0.0014456,0.0014456
16,45.5829,0.86783,1.42706,1.17159,1.26517,0.74985,0.75,0.80106,0.46231,0.79897,0.7227,0.81432,0.54161,1.37553,1.67413,1.86758,1.90719,0.001406,0.001406,0.001406
17,48.372,0.84879,1.341,1.13183,1.2358,0.72091,0.77273,0.76714,0.48282,0.83,0.72727,0.80527,0.52552,1.26046,1.86904,1.76062,1.8633,0.0013664,0.0013664,0.0013664
18,51.18,0.81412,1.40561,1.08628,1.20764,0.65157,0.68004,0.71214,0.38575,0.7169,0.74823,0.77575,0.44568,1.30007,1.96067,2.06648,1.96327,0.0013268,0.0013268,0.0013268
19,53.9729,0.83986,1.36608,1.06317,1.22834,0.75529,0.77164,0.79666,0.45337,0.77863,0.79545,0.83458,0.49072,1.24479,2.00457,2.14514,1.98975,0.0012872,0.0012872,0.0012872
20,56.7763,0.78036,1.28234,1.04773,1.17932,0.65209,0.70455,0.66144,0.33317,0.71547,0.77273,0.77915,0.4942,1.25053,1.60143,1.83405,1.82731,0.0012476,0.0012476,0.0012476
21,59.5709,0.75861,1.28047,0.9902,1.15757,0.80127,0.65909,0.77768,0.43311,0.90851,0.75,0.88755,0.59725,1.05017,1.60112,1.68407,1.61064,0.001208,0.001208,0.001208
22,62.3954,0.75953,1.26598,0.95812,1.19158,0.66352,0.86364,0.83437,0.46696,0.79752,0.8058,0.88327,0.58445,1.38127,1.57388,1.68007,1.94251,0.0011684,0.0011684,0.0011684
23,65.2352,0.75602,1.24123,0.95106,1.18464,0.77061,0.83987,0.90723,0.59733,0.76178,0.90909,0.9141,0.67952,1.17756,1.39421,1.767,1.77071,0.0011288,0.0011288,0.0011288
24,68.0667,0.76067,1.36805,0.95835,1.19982,0.75877,0.88636,0.89329,0.56015,0.75723,0.88636,0.88287,0.6472,1.24969,1.64333,1.3806,1.75887,0.0010892,0.0010892,0.0010892
25,70.8714,0.71975,1.28821,0.89884,1.16432,0.74661,0.72727,0.78676,0.50552,0.80358,0.83687,0.83415,0.59082,1.19212,1.56955,1.49313,1.73467,0.0010496,0.0010496,0.0010496
26,73.6524,0.76861,1.29954,0.98354,1.18641,0.75628,0.70525,0.80487,0.55486,0.71241,0.90087,0.85267,0.63126,1.03029,1.60446,1.58632,1.59751,0.00101,0.00101,0.00101
27,76.4534,0.73517,1.28533,0.87464,1.16881,0.6847,0.84091,0.83036,0.54937,0.69459,0.87881,0.86763,0.63982,1.09052,1.51384,1.69374,1.64335,0.0009704,0.0009704,0.0009704
28,79.2485,0.69403,1.16123,0.85828,1.14637,0.7987,0.88636,0.85814,0.6112,0.7987,0.88636,0.85868,0.66902,1.05514,1.36736,1.40412,1.57996,0.0009308,0.0009308,0.0009308
29,82.0507,0.68859,1.18614,0.7977,1.1383,0.68025,0.90909,0.77598,0.48091,0.68025,0.90909,0.77598,0.57902,1.12884,1.35595,1.63433,1.64449,0.0008912,0.0008912,0.0008912
30,84.8205,0.64297,1.11637,0.78775,1.10387,0.64683,0.86364,0.72469,0.44583,0.71058,0.79545,0.73428,0.54344,1.21735,1.33657,1.69431,1.72914,0.0008516,0.0008516,0.0008516
31,87.5946,0.65819,1.16042,0.81254,1.09948,0.84076,0.77273,0.83859,0.53039,0.78553,0.79545,0.85105,0.62653,1.19317,1.43002,1.50789,1.71252,0.000812,0.000812,0.000812
32,90.3875,0.67518,1.22575,0.82561,1.11635,0.74136,0.75,0.80341,0.53379,0.86396,0.75,0.84393,0.64333,1.16787,1.27618,1.50008,1.65793,0.0007724,0.0007724,0.0007724
33,93.1539,0.64442,1.14658,0.8023,1.10587,0.75366,0.72727,0.78993,0.52107,0.80076,0.77273,0.84947,0.64294,1.16065,1.28679,1.32945,1.6837,0.0007328,0.0007328,0.0007328
34,95.9251,0.68494,1.19187,0.80632,1.12322,0.7455,0.84091,0.84961,0.55384,0.75682,0.88636,0.86711,0.65953,1.09491,1.19599,1.15497,1.66683,0.0006932,0.0006932,0.0006932
35,98.6838,0.6545,1.13113,0.79648,1.11359,0.77522,0.86224,0.87089,0.58403,0.77522,0.86224,0.87961,0.68592,1.03227,1.16301,1.0881,1.55514,0.0006536,0.0006536,0.0006536
36,101.486,0.57643,0.99447,0.72219,1.09669,0.84013,0.83612,0.8757,0.60909,0.82296,0.84523,0.88931,0.69701,0.97152,1.12277,1.27666,1.50812,0.000614,0.000614,0.000614
37,104.299,0.64353,1.13364,0.77484,1.09723,0.77767,0.84091,0.86186,0.61668,0.79899,0.86364,0.88109,0.70461,1.01762,1.18389,1.12451,1.55719,0.0005744,0.0005744,0.0005744
38,107.116,0.59687,1.07663,0.73981,1.06986,0.72804,0.91265,0.82428,0.56537,0.74617,0.93538,0.85263,0.67795,1.05976,1.16011,1.04106,1.5957,0.0005348,0.0005348,0.0005348
39,109.889,0.59098,1.09553,0.73577,1.07021,0.80091,0.82295,0.87583,0.62139,0.85697,0.86364,0.91658,0.72385,0.9799,1.10493,1.02655,1.57265,0.0004952,0.0004952,0.0004952
40,112.707,0.59225,1.00233,0.7012,1.07571,0.88884,0.75,0.84861,0.59668,0.8225,0.84253,0.89584,0.70996,0.9533,1.09721,1.2396,1.53259,0.0004556,0.0004556,0.0004556
41,116.253,0.46798,0.99038,0.8163,1.04517,0.72046,0.88636,0.86719,0.59409,0.75853,0.93182,0.91485,0.70871,0.93323,1.07769,1.3511,1.5343,0.000416,0.000416,0.000416
42,118.969,0.48956,0.94346,0.71644,1.09549,0.78838,0.76214,0.80545,0.57015,0.83498,0.80514,0.86395,0.67707,0.94715,1.17761,1.63191,1.54862,0.0003764,0.0003764,0.0003764
43,121.688,0.47351,0.93066,0.70562,1.07928,0.74117,0.78107,0.78527,0.54751,0.7626,0.8032,0.84101,0.64945,1.02535,1.33994,1.77832,1.55406,0.0003368,0.0003368,0.0003368
44,124.416,0.44492,0.89009,0.69528,1.03531,0.79541,0.79525,0.85127,0.58253,0.78018,0.81818,0.88364,0.69878,0.93682,1.19136,1.46665,1.47177,0.0002972,0.0002972,0.0002972
45,127.153,0.41435,0.89765,0.62963,0.99564,0.79711,0.79545,0.85638,0.59377,0.7568,0.91949,0.87998,0.69857,0.88337,1.13818,1.36117,1.44459,0.0002576,0.0002576,0.0002576
46,129.88,0.41072,0.85525,0.59563,0.97274,0.79313,0.88636,0.86918,0.60729,0.7801,0.95455,0.89257,0.70106,0.83158,1.11673,1.32545,1.42571,0.000218,0.000218,0.000218
47,132.603,0.44662,0.88831,0.61472,1.01683,0.75256,0.89872,0.86951,0.60769,0.78893,0.93449,0.89106,0.71171,0.81805,1.08476,1.3155,1.42726,0.0001784,0.0001784,0.0001784
48,135.341,0.43963,0.89471,0.58247,1.06506,0.75001,0.88643,0.87412,0.61431,0.78495,0.91256,0.89686,0.72381,0.87312,1.06518,1.20272,1.45724,0.0001388,0.0001388,0.0001388
49,138.081,0.41488,0.8195,0.57246,1.02575,0.74973,0.88512,0.88744,0.63276,0.82012,0.88636,0.90921,0.73648,0.86152,1.06245,1.17387,1.44389,9.92e-05,9.92e-05,9.92e-05
50,140.834,0.39123,0.81349,0.56652,1.0009,0.80113,0.86364,0.89616,0.63565,0.84349,0.90909,0.91467,0.73945,0.8765,1.05365,1.12408,1.4568,5.96e-05,5.96e-05,5.96e-05
